Applicant Name,Case Interview Score,Score from 1 to 5 (1 is lowest)
11A,4.58,4
11A,4.58,1
11A,4.58,3
11A,4.58,2
11A,4.58,3
11A,4.58,3
11A,4.58,3
11A,4.58,4
11A,4.58,4
11A,4.58,4
11A,4.58,4
11A,4.58,3
11A,4.58,4
11A,4.58,4
11A,4.58,3
11A,4.58,3
11A,4.58,4
11A,4.58,4
11A,4.58,3
11A,4.58,5
11A,4.58,3
11A,4.58,3
11A,4.58,4
11A,4.58,3
11A,4.58,3
11A,4.58,4
11A,4.58,4
11A,4.58,4
11A,4.58,4
11A,4.58,2
11A,4.58,4
11A,4.58,5
11A,4.58,4
12A,4.17,2
12A,4.17,3
12A,4.17,3
12A,4.17,2
12A,4.17,2
12A,4.17,3
12A,4.17,3
12A,4.17,3
12A,4.17,2
12A,4.17,1
12A,4.17,1
12A,4.17,3
12A,4.17,2
12A,4.17,3
12A,4.17,2
12A,4.17,3
12A,4.17,3
12A,4.17,2
12A,4.17,3
12A,4.17,3
12A,4.17,3
12A,4.17,4
12A,4.17,2
12A,4.17,4
12A,4.17,3
12A,4.17,3
12A,4.17,3
12A,4.17,3
12A,4.17,3
12A,4.17,2
13A,4.27,1
13A,4.27,2
13A,4.27,4
13A,4.27,2
13A,4.27,4
13A,4.27,2
13A,4.27,5
13A,4.27,4
13A,4.27,4
13A,4.27,3
13A,4.27,3
13A,4.27,3
13A,4.27,1
13A,4.27,3
13A,4.27,2
13A,4.27,3
13A,4.27,3
13A,4.27,4
13A,4.27,4
13A,4.27,4
13A,4.27,3
13A,4.27,3
13A,4.27,3
13A,4.27,4
13A,4.27,2
13A,4.27,4
13A,4.27,4
13A,4.27,3
13A,4.27,4
13A,4.27,3
13A,4.27,4
13A,4.27,4
13A,4.27,2
14A,3.23,2
14A,3.23,4
14A,3.23,4
14A,3.23,2
14A,3.23,4
14A,3.23,4
14A,3.23,2
14A,3.23,4
14A,3.23,3
14A,3.23,3
14A,3.23,2
14A,3.23,4
14A,3.23,4
14A,3.23,3
14A,3.23,4
14A,3.23,3
14A,3.23,5
14A,3.23,4
14A,3.23,2
14A,3.23,3
14A,3.23,2
14A,3.23,3
14A,3.23,4
14A,3.23,3
14A,3.23,4
14A,3.23,4
14A,3.23,2
14A,3.23,3
14A,3.23,3
14A,3.23,3
14A,3.23,5
14A,3.23,3
15A,4.17,5
15A,4.17,3
15A,4.17,4
15A,4.17,4
15A,4.17,2
15A,4.17,4
15A,4.17,5
15A,4.17,5
15A,4.17,5
15A,4.17,5
15A,4.17,5
15A,4.17,4
15A,4.17,5
15A,4.17,5
15A,4.17,4
15A,4.17,5
15A,4.17,4
15A,4.17,5
15A,4.17,5
15A,4.17,4
15A,4.17,5
15A,4.17,4
15A,4.17,4
15A,4.17,4
15A,4.17,5
15A,4.17,5
15A,4.17,5
15A,4.17,5
15A,4.17,3
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,4
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,5
16A,4.9,5
17A,4.48,3
17A,4.48,5
17A,4.48,2
17A,4.48,5
17A,4.48,5
17A,4.48,5
17A,4.48,4
17A,4.48,4
17A,4.48,4
17A,4.48,5
17A,4.48,2
17A,4.48,5
17A,4.48,4
17A,4.48,4
17A,4.48,3
17A,4.48,5
17A,4.48,4
17A,4.48,4
17A,4.48,4
17A,4.48,3
17A,4.48,3
17A,4.48,4
17A,4.48,5
17A,4.48,5
17A,4.48,4
17A,4.48,4
17A,4.48,4
17A,4.48,3
17A,4.48,4
17A,4.48,4
17A,4.48,4
17A,4.48,4
18A,4.58,5
18A,4.58,5
18A,4.58,5
18A,4.58,4
18A,4.58,4
18A,4.58,5
18A,4.58,5
18A,4.58,4
18A,4.58,5
18A,4.58,5
18A,4.58,5
18A,4.58,5
18A,4.58,4
18A,4.58,5
18A,4.58,5
18A,4.58,5
18A,4.58,4
18A,4.58,5
18A,4.58,5
18A,4.58,4
18A,4.58,5
18A,4.58,5
18A,4.58,5
18A,4.58,5
18A,4.58,5
18A,4.58,5
18A,4.58,4
18A,4.58,5
19A,3.54,2
19A,3.54,3
19A,3.54,4
19A,3.54,3
19A,3.54,3
19A,3.54,4
19A,3.54,4
19A,3.54,5
19A,3.54,3
19A,3.54,4
19A,3.54,4
19A,3.54,3
19A,3.54,4
19A,3.54,4
19A,3.54,4
19A,3.54,3
19A,3.54,4
19A,3.54,4
19A,3.54,2
19A,3.54,3
19A,3.54,3
19A,3.54,3
19A,3.54,2
19A,3.54,4
19A,3.54,4
19A,3.54,4
19A,3.54,5
19A,3.54,3
19A,3.54,5
19A,3.54,4
19A,3.54,4
19A,3.54,4
19A,3.54,4
19A,3.54,4
19A,3.54,4
19A,3.54,4
19A,3.54,4
19A,3.54,4
19A,3.54,4
19A,3.54,4
19A,3.54,5
19A,3.54,5
19A,3.54,4
19A,3.54,4
19A,3.54,4
19A,3.54,4
19A,3.54,4
19A,3.54,4
19A,3.54,4
19A,3.54,3
19A,3.54,3
